Cena,Miasto,Dzielnica,Pokoje,Pow. całkowita,Rynek,Rok budowy,Piętro,Liczba pięter,Balkon,Typ oferty,Cena/m2
518569.0,Gdynia ,Cisowa, 2,40.72,Pierwotny,2025,1,4.0,Nie,Najmu,12735.0
518569.0,Gdynia ,Cisowa, 2,40.72,Pierwotny,2025,1,4.0,Nie,Najmu,12735.0
518569.0,Gdynia ,Cisowa, 2,40.72,Pierwotny,2025,1,4.0,Nie,Najmu,12735.0
518569.0,Gdynia ,Cisowa, 2,40.72,Pierwotny,2025,1,4.0,Nie,Najmu,12735.0
518569.0,Gdynia ,Cisowa, 2,40.72,Pierwotny,2025,1,4.0,Nie,Najmu,12735.0
518569.0,Gdynia ,Cisowa, 2,40.72,Pierwotny,2025,1,4.0,Nie,Najmu,12735.0
518569.0,Gdynia ,Cisowa, 2,40.72,Pierwotny,2025,1,4.0,Nie,Najmu,12735.0
518569.0,Gdynia ,Cisowa, 2,40.72,Pierwotny,2025,1,4.0,Nie,Najmu,12735.0
518569.0,Gdynia ,Cisowa, 2,40.72,Pierwotny,2025,1,4.0,Nie,Najmu,12735.0
669000.0,Gdynia ,Redłowo, 2,40.78,Wtórny,1970,3.0,9.0,Tak,Najmu,16405.1
5600000.0,Gdynia ,Orłowo, 5,160.0,Wtórny,2011,1.0,2.0,Tak,Najmu,35000.0
850000.0,Gdynia ,Kamienna Góra, 3,60.0,Wtórny,1950,3.0,3.0,Tak,Najmu,14166.67
1447000.0,Gdynia ,Śródmieście, 2,49.0,Wtórny,2023,1.0,17.0,Tak,Najmu,29530.61
1200000.0,Gdynia ,Śródmieście, 4,83.1,Wtórny,1935,2.0,3.0,Tak,Najmu,14440.43
1279000.0,Gdynia ,Śródmieście, 3,65.33,Wtórny,2012,5.0,7.0,Tak,Najmu,19577.53
499000.0,Gdynia ,Pogórze, 2,39.25,Wtórny,2023,1.0,2.0,Tak,Najmu,12713.38
598000.0,Gdynia ,Cisowa, 3,49.0,Wtórny,1978,6.0,10.0,Tak,Najmu,12204.08
637000.0,Gdynia ,Chylonia, 3,53.0,Wtórny,1971,2.0,10.0,Tak,Najmu,12018.87
559000.0,Gdynia ,Śródmieście, 2,33.2,Wtórny,1950,3.0,5.0,Nie,Najmu,16837.35
531976.0,Gdynia ,Cisowa, 2,45.86,Pierwotny,2025,1,4.0,Nie,Najmu,11600.0
531976.0,Gdynia ,Cisowa, 2,45.86,Pierwotny,2025,1,4.0,Nie,Najmu,11600.0
531976.0,Gdynia ,Cisowa, 2,45.86,Pierwotny,2025,1,4.0,Nie,Najmu,11600.0
531976.0,Gdynia ,Cisowa, 2,45.86,Pierwotny,2025,1,4.0,Nie,Najmu,11600.0
531976.0,Gdynia ,Cisowa, 2,45.86,Pierwotny,2025,1,4.0,Nie,Najmu,11600.0
531976.0,Gdynia ,Cisowa, 2,45.86,Pierwotny,2025,1,4.0,Nie,Najmu,11600.0
531976.0,Gdynia ,Cisowa, 2,45.86,Pierwotny,2025,1,4.0,Nie,Najmu,11600.0
1099000.0,Gdynia ,Mały Kack, 2,74.0,Wtórny,2012,1,6.0,Nie,Najmu,14851.35
360000.0,Gdynia ,Cisowa, 2,33.0,Wtórny,1970,4.0,4.0,Tak,Najmu,10909.09
1190000.0,Gdynia ,Wzgórze Świętego Maksymiliana, 5,139.5,Wtórny,1990,1,2.0,Tak,Najmu,8530.47
699000.0,Gdynia ,Wzgórze Świętego Maksymiliana, 3,48.7,Wtórny,1980,1,10.0,Tak,Najmu,14353.18
2990000.0,Gdynia ,Śródmieście, 8,150.0,Wtórny,1930,4.0,4.0,Tak,Najmu,19933.33
574751.0,Gdynia ,Cisowa, 2,51.18,Pierwotny,2025,1,4.0,Nie,Najmu,11229.99
574751.0,Gdynia ,Cisowa, 2,51.18,Pierwotny,2025,1,4.0,Nie,Najmu,11229.99
574751.0,Gdynia ,Cisowa, 2,51.18,Pierwotny,2025,1,4.0,Nie,Najmu,11229.99
574751.0,Gdynia ,Cisowa, 2,51.18,Pierwotny,2025,1,4.0,Nie,Najmu,11229.99
574751.0,Gdynia ,Cisowa, 2,51.18,Pierwotny,2025,1,4.0,Nie,Najmu,11229.99
574751.0,Gdynia ,Cisowa, 2,51.18,Pierwotny,2025,1,4.0,Nie,Najmu,11229.99
574751.0,Gdynia ,Cisowa, 2,51.18,Pierwotny,2025,1,4.0,Nie,Najmu,11229.99
574751.0,Gdynia ,Cisowa, 2,51.18,Pierwotny,2025,1,4.0,Nie,Najmu,11229.99
615798.0,Gdynia ,Cisowa, 2,51.18,Pierwotny,2025,1,4.0,Nie,Najmu,12032.0
573929.0,Gdynia ,Cisowa, 2,48.1,Pierwotny,2025,1,4.0,Nie,Najmu,11932.0
795584.0,Gdynia ,Cisowa, 3,67.24,Pierwotny,2025,1,4.0,Nie,Najmu,11832.0
2700000.0,Gdynia ,Śródmieście, 3,104.0,Wtórny,2021,13.0,17.0,Tak,Najmu,25961.54
2399000.0,Gdynia ,Śródmieście, 2,64.0,Wtórny,2009,23.0,29.0,Nie,Najmu,37484.38
1589000.0,Gdynia ,Śródmieście, 3,65.7,Wtórny,2023,3.0,5.0,Nie,Najmu,24185.69
2990000.0,Gdynia ,Redłowo, 2,105.7,Wtórny,2008,1,3.0,Tak,Najmu,28287.61
960000.0,Gdynia ,Śródmieście, 2,50.1,Wtórny,1955,2.0,5.0,Tak,Najmu,19161.68
3999000.0,Gdynia ,Orłowo, 2,113.0,Wtórny,2020,1.0,2.0,Tak,Najmu,35389.38
4999999.0,Gdynia ,Orłowo, 5,160.0,Wtórny,2011,1.0,2.0,Tak,Najmu,31249.99
1994600.0,Gdynia ,Mały Kack, 4,107.86,Pierwotny,2024,1,2.0,Tak,Najmu,18492.49
1300000.0,Gdynia,Pogórze, 3,79.61,Wtórny,2022,1,1.0,Nie,Najmu,16329.61
2700000.0,Gdynia ,Działki Leśne, 4,164.82,Wtórny,2022,2.0,2.0,Tak,Najmu,16381.51
1550000.0,Gdynia ,Śródmieście, 2,52.2,Wtórny,2020,13.0,17.0,Tak,Najmu,29693.49
3700000.0,Gdynia ,Śródmieście, 3,70.9,Wtórny,2022,2.0,4.0,Tak,Najmu,52186.18
1390000.0,Gdynia ,Śródmieście, 3,65.57,Pierwotny,2024,4.0,4.0,Tak,Najmu,21198.72
1390000.0,Gdynia ,Śródmieście, 2,40.8,Wtórny,2020,14.0,17.0,Tak,Najmu,34068.63
3500000.0,Gdynia ,Orłowo, 3,79.0,Wtórny,2009,1,1.0,Tak,Najmu,44303.8
1550000.0,Gdynia ,Mały Kack, 4,126.05,Wtórny,2001,1.0,3.0,Tak,Najmu,12296.71
849000.0,Gdynia ,Śródmieście, 2,44.83,Wtórny,2024,3.0,4.0,Tak,Najmu,18938.21
699000.0,Gdynia ,Oksywie, 2,54.2,Wtórny,2003,1.0,2.0,Tak,Najmu,12896.68
531600.0,Gdynia ,Cisowa, 2,53.16,Pierwotny,2025,1,4.0,Nie,Najmu,10000.0
593840.0,Gdynia ,Cisowa, 2,57.1,Pierwotny,2025,1,4.0,Nie,Najmu,10400.0
770536.0,Gdynia ,Cisowa, 3,74.09,Pierwotny,2025,1,4.0,Nie,Najmu,10400.0
1449000.0,Gdynia ,Śródmieście, 3,63.0,Wtórny,2020,1.0,17.0,Tak,Najmu,23000.0
860000.0,Gdynia ,Mały Kack, 3,70.0,Wtórny,2014,1.0,2.0,Tak,Najmu,12285.71
609900.0,Gdynia ,Pogórze, 3,64.2,Pierwotny,2022,2.0,2.0,Nie,Najmu,9500.0
950000.0,Gdynia ,Pogórze, 3,76.0,Wtórny,2022,3.0,3.0,Tak,Najmu,12500.0
575000.0,Gdynia ,Pustki Cisowskie - Demptowo, 3,53.1,Wtórny,1981,3.0,3.0,Nie,Najmu,10828.63
1170000.0,Gdynia ,Orłowo, 3,66.01,Wtórny,2022,1,2.0,Tak,Najmu,17724.59
528000.0,Gdynia ,Działki Leśne, 2,44.6,Wtórny,1960,3.0,4.0,Nie,Najmu,11838.57
769000.0,Gdynia ,Śródmieście, 3,76.0,Wtórny,1932,3.0,3.0,Nie,Najmu,10118.42
1111111.0,Gdynia ,Redłowo, 2,58.5,Wtórny,2021,4.0,8.0,Tak,Najmu,18993.35
1390000.0,Gdynia ,Działki Leśne, 2,50.67,Wtórny,2020,1,4.0,Nie,Najmu,27432.41
609000.0,Gdynia ,Kamienna Góra, 2,49.37,Wtórny,1950,4.0,5.0,Tak,Najmu,12335.43
609000.0,Gdynia ,Kamienna Góra, 2,49.37,Wtórny,1950,4.0,5.0,Tak,Najmu,12335.43
609000.0,Gdynia ,Kamienna Góra, 2,49.37,Wtórny,1950,4.0,5.0,Tak,Najmu,12335.43
609000.0,Gdynia ,Kamienna Góra, 2,49.37,Wtórny,1950,4.0,5.0,Tak,Najmu,12335.43
609000.0,Gdynia ,Kamienna Góra, 2,49.37,Wtórny,1950,4.0,5.0,Tak,Najmu,12335.43
609000.0,Gdynia ,Kamienna Góra, 2,49.37,Wtórny,1950,4.0,5.0,Tak,Najmu,12335.43
609000.0,Gdynia ,Kamienna Góra, 2,49.37,Wtórny,1950,4.0,5.0,Tak,Najmu,12335.43
609000.0,Gdynia ,Kamienna Góra, 2,49.37,Wtórny,1950,4.0,5.0,Tak,Najmu,12335.43
789000.0,Gdynia ,Śródmieście, 2,58.85,Wtórny,1960,5.0,5.0,Tak,Najmu,13406.97
790000.0,Gdynia ,Witomino Leśniczówka, 3,55.0,Wtórny,2005,1,2.0,Tak,Najmu,14363.64
1519000.0,Gdynia ,Grabówek, 5,102.0,Pierwotny,2023,1,4.0,Tak,Najmu,14892.16
557000.0,Gdynia ,Grabówek, 2,37.4,Pierwotny,2023,1,4.0,Tak,Najmu,14893.05
1085800.0,Gdynia ,Chwarzno-Wiczlino, 5,122.0,Pierwotny,2015,1.0,2.0,Tak,Najmu,8900.0
830000.0,Gdynia ,Wzgórze Świętego Maksymiliana, 2,40.46,Wtórny,2019,1.0,2.0,Tak,Najmu,20514.09
789000.0,Gdynia ,Orłowo, 4,74.84,Wtórny,1936,1.0,3.0,Tak,Najmu,10542.49
360000.0,Słupsk ,Redłowo, 3,60.5,Wtórny,1984,1,10.0,Nie,Najmu,5950.41
1515996.0,Gdynia ,Śródmieście, 4,93.58,Pierwotny,2023,1.0,16.0,Tak,Najmu,16200.0
1535296.0,Gdynia ,Śródmieście, 4,103.04,Wtórny,1937,3.0,5.0,Tak,Najmu,14900.0
950000.0,Gdynia ,Chwarzno-Wiczlino, 3,67.63,Wtórny,2022,1.0,3.0,Tak,Najmu,14047.02
608027.0,Gdynia ,Dąbrowa, 3,55.02,Pierwotny,2025,2.0,5.0,Tak,Najmu,11051.02
583474.0,Gdynia ,Cisowa, 2,47.31,Pierwotny,2025,1,4.0,Nie,Najmu,12333.0
