Nazwa|Cena|Miasto|Dzielnica|Pokoje|Pow. całkowita|Piętro|Liczba pięter|Liczba poziomów mieszkania|Liczba sypialni|Rynek|Rodzaj umowy|Typ budynku|Materiał budowlany|Rok budowy|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Typ kuchni|Liczba łazienek|Balkon|Taras|Forma własności|Stan budynku|Stan nieruchomości|Stolarka okienna|Dostępne od|Wysokość wnętrza|łazienka razem z WC|Depozyt za wynajem|Pow. balkonu|Pow. ogródka|Cena do negocjacji|Pow. łazienki
Gustowny Apartament z wejściem od Monte Cassino|14 000 zł|Sopot, |Bohaterów Monte Cassino| • 4 pokoje|175 m²|2/3|3|1|2|Wtórny|Na wyłączność|Kamienica|Cegła|1901|Gazowe|05.06.2023|09.10.2023|morizon-102548|853|26||||||||||||||||
Nowe mieszkanie niskie opłaty, k/SKM Sopot Wyścigi|4 450 zł|Sopot, |Wyścigi, | • 3 pokoje|50 m²||3|||Wtórny|Na wyłączność||||Elektryczne|01.03.2024|01.03.2024|morizon-RR02080|470|25|Półotwarta|1|Nie|Nie|Własność|Wysoki standard||||||||||
Mieszkanie na wynajem Sopot|3 700 zł|Sopot, |Wybickiego  20| • 3 pokoje|40 m²|1/3|3|||Wtórny||Kamienica||1920|Własne gazowe – junkers|05.04.2024|05.04.2024|morizon-827956|191|19|||||||Po remoncie|Nowe PCV||||||||
2-pokojowe, umeblowane, hala garażowa|2 800 zł|Sopot, |Świemirowska| • 2 pokoje|47 m²|1/2|2|||Wtórny|Na wyłączność|Blok Mieszkalny||2006|Co Miejskie|09.01.2024|12.04.2024|morizon-469111|431|5|||Tak|||||||||||||
Mieszkanie w Sopocie Dolnym - 2 min od morza|4 500 zł|Sopot, |Dolny, | • 1 pokój|26,60 m²||2|||Wtórny|Na wyłączność|Kamienica|Cegła|1900|Elektryczne|19.02.2024|15.04.2024|morizon-PAN479788|252|1|||Nie|Nie||||||||||||
Mieszkanie na wynajem na cały rok Sopot Centrum|5 000 zł|Sopot, |Aleja Niepodległości| • 4 pokoje|71,60 m²|1/1|1||3|Wtórny||Kamienica|Cegła|1940|Gazowe|05.04.2024|05.04.2024|morizon-WH751333|150|0|||||||||31.03.2024|||||||
Wynajem długoterminowy, 2 pokoje, Sopot, 23 Marca|2 800 zł|Sopot, |Górny, | • 2 pokoje|36 m²|3/4|4||1|Wtórny||Blok Mieszkalny|||Co Miejskie|18.04.2024|18.04.2024|morizon-DH209065|50|0|||Nie||||||01.05.2024|||||||
Sopot, kameralna inwestycja, blisko SKM, plaża,|3 000 zł|Sopot, |Kamienny Potok, | • 2 pokoje|56 m²||2||1|Wtórny||Apartamentowiec||2014|Co Własne|18.04.2024|18.04.2024|morizon-DH855262|43|0|||Tak||||||15.05.2024|||||||
Apartament z widokiem na morze|12 000 zł|Sopot, |Górny, | • 3 pokoje|87 m²|3/3|3||2|Wtórny|Na wyłączność|Apartamentowiec|YTong|2016|Co Miejskie|12.04.2024|12.04.2024|morizon-WH284165|117|0|||Tak||||||12.04.2024|||||||
Ciche mieszkanie w Sopocie w pięknej okolicy|3 800 zł|Sopot, |Górny, | • 2 pokoje|52 m²|1/3|3|||Wtórny|Na wyłączność|||||10.04.2024|19.04.2024|morizon-48876/2089/OMW|125|0|ANEKS KUCHENNY|1|Tak||WŁASNOŚĆ||WYSOKI STANDARD||02.04.2024|285 cm||||||
Duże mieszkanie w Sopocie, blisko lasu|3 500 zł|Sopot, |Brodwino, | • 4 pokoje|69 m²|7/10|10|1|3|Wtórny|Na wyłączność|Wieżowiec|Konstrukcja mieszana|1973|Co Miejskie|27.03.2024|27.03.2024|morizon-PN262456|190|0|||Tak|||||||||||||
