Nazwa|Cena|Miasto|Dzielnica|Pokoje|Pow. całkowita|Piętro|Liczba pięter|Liczba sypialni|Balkon|Rynek|Rodzaj umowy|Rok budowy|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba poziomów mieszkania|Dostępne od|Typ budynku|Materiał budowlany|Ogrzewanie|Inwestycja|Stan nieruchomości|Typ kuchni|Liczba łazienek|łazienka razem z WC|Taras|Pow. ogródka|Forma własności|Stolarka okienna|Pow. tarasu|Pow. loggii|Pow. balkonu|Stan budynku|Wysokość wnętrza|Pow. łazienki|Pow. użytkowa|Dodatkowe koszty|Cena do negocjacji|Typ nieruchomości|Typ domu|Lokalizacja garażu|Pow. działki
Luksusowe mieszkanie/3 pokoje/Zajezdnia Wrzeszcz|1 399 000 zł|Gdańsk, |Wrzeszcz Dolny, | • 3 pokoje|61,21 m²|1/4|4|2|Tak|Wtórny|Na wyłączność|2021|22.04.2024|22.04.2024|morizon-467068|1|25|||||||||||||||||||||||||||
Mieszkanie 2 pokoje Gdańsk Przymorze|539 000 zł|Gdańsk, |Przymorze, | • 2 pokoje|46 m²|8/10|10||Tak|Wtórny|Na wyłączność|1973|03.04.2024|18.04.2024|morizon-WH105140|1 188|301|1|05.04.2024|Falowiec|Cegła|Co Miejskie||||||||||||||||||||||
Mieszkanie ENERGOOSZCZĘDNE 90m² z ogrodem, bez czynszu 20 min.do centrum Gdańska|360 185 zł|Gdańsk, |Łostowice, | • 4 pokoje|90 m²|||||Pierwotny||2025|21.03.2024|17.04.2024|morizon-Mieszkanie|3 273|250|2||Dom wielorodzinny|Pustak||Domm 90M2 Z Ogrodem|Do wykończenia|Aneks|2|Tak|Tak|200 m²|Własność||||||||||||||
Opis nieruchomości|457 835 zł|Gdańsk, |Łostowice, | • 2 pokoje|40,66 m²|||||Pierwotny||2025|19.02.2024|22.04.2024|morizon-B2-B2.34|75|211||||||Quercus|||||||||||||||||||||
8700/m2 1,5km tramwaj_ Hale_ komórki_ balkon_RABAT|580 000 zł|Gdańsk, |Jasień| • 4 pokoje|59,80 m²|3/4|4||Tak|Pierwotny||2023|06.03.2024|15.04.2024|morizon-1042|183|210|||Blok|Wielka płyta|Miejskie||Do wykończenia||||||Własność|PCV|||||||||||||
Opis nieruchomości|482 555 zł|Gdańsk, |Łostowice, | • 2 pokoje|43,14 m²|||||Pierwotny||2025|27.03.2024|22.04.2024|morizon-B2-B2.60|93|207||||||Quercus|||||||||||||||||||||
Mieszkanie z potencjałem. Duże 2 pokoje blisko centrum|627 000 zł|Gdańsk, |Siedlce, | • 2 pokoje|50,19 m²|3/3|3|||Wtórny||1935|19.03.2024|19.04.2024|morizon-gratka-33850705|318|203|||Kamienica|Cegła||||Osobna||Tak|||Własność||||||||||||||
Słoneczne mieszkanie, 2 pokoje, blisko morza|425 000 zł|Gdańsk, |Stogi, | • 2 pokoje|37,30 m²|8/10|10|1|Tak|Wtórny|Na wyłączność|1966|02.04.2024|19.04.2024|morizon-DOMI504881|384|196|1|15.04.2024|Blok Mieszkalny|Rama H|Co Miejskie||||||||||||||||||||||
Opis nieruchomości|552 900 zł|Gdańsk, |Stogi, | • 2 pokoje|34,62 m²||3|||Pierwotny||2024|29.03.2024|03.04.2024|morizon-0.2|200|166||||||Apartamenty Diuna|||||||||7,92 m²|84,77 m²|||||||||||
Opis nieruchomości|819 900 zł|Gdańsk, |Stogi, | • 4 pokoje|65,57 m²||3|||Pierwotny||2024|29.03.2024|03.04.2024|morizon-0.8|191|165||||||Apartamenty Diuna|||||||||10,62 m²|84 m²|||||||||||
Opis nieruchomości|1 564 095 zł|Gdańsk, |Śródmieście, | • 1 pokój|72,90 m²|||||Pierwotny||2024|01.03.2024|22.04.2024|morizon-28-28.3|650|160||||||KAMIENNA 28|||||||||||||||||||||
Opis nieruchomości|1 725 230 zł|Gdańsk, |Śródmieście, | • 2 pokoje|82,66 m²|||||Pierwotny||2024|01.03.2024|22.04.2024|morizon-28-28.1|659|151||||||KAMIENNA 28|||||||||||||||||||||
Opis nieruchomości|879 900 zł|Gdańsk, |Stogi, | • 4 pokoje|74,50 m²||3|||Pierwotny||2024|29.03.2024|03.04.2024|morizon-0.11|113|148||||||Apartamenty Diuna|||||||||6,46 m²|88 m²|||||||||||
Opis nieruchomości|549 900 zł|Gdańsk, |Stogi, | • 2 pokoje|32,68 m²||3|||Pierwotny||2024|29.03.2024|03.04.2024|morizon-0.5|130|147||||||Apartamenty Diuna|||||||||6,80 m²|51 m²|||||||||||
Opis nieruchomości|639 900 zł|Gdańsk, |Stogi, | • 2 pokoje|44,23 m²||3|||Pierwotny||2024|29.03.2024|03.04.2024|morizon-0.9|171|147||||||Apartamenty Diuna|||||||||7,92 m²|63 m²|||||||||||
Opis nieruchomości|1 570 868 zł|Gdańsk, |Śródmieście, | • 3 pokoje|71,08 m²|||||Pierwotny||2024|01.03.2024|22.04.2024|morizon-28-28.7|670|146||||||KAMIENNA 28|||||||||||||||||||||
Opis nieruchomości|3 015 792 zł|Gdańsk, |Śródmieście, | • 3 pokoje|139,62 m²|||||Pierwotny||2024|01.03.2024|22.04.2024|morizon-28-28.6|685|142||||||KAMIENNA 28|||||||||||||||||||||
Opis nieruchomości|659 900 zł|Gdańsk, |Stogi, | • 2 pokoje|46,49 m²|1/3|3||Tak|Pierwotny||2024|29.03.2024|03.04.2024|morizon-0.14|122|140||||||Apartamenty Diuna|||||||||||7,12 m²||||||||||
Opis nieruchomości|569 900 zł|Gdańsk, |Stogi, | • 2 pokoje|36,02 m²||3|||Pierwotny||2024|29.03.2024|03.04.2024|morizon-0.6|132|139||||||Apartamenty Diuna|||||||||7,60 m²|40,50 m²|||||||||||
Opis nieruchomości|639 900 zł|Gdańsk, |Stogi, | • 2 pokoje|44,34 m²||3|||Pierwotny||2024|29.03.2024|03.04.2024|morizon-0.10|120|139||||||Apartamenty Diuna|||||||||7,92 m²|63 m²|||||||||||
