Nazwa|Cena|Miasto|Dzielnica|Pokoje|Stan nieruchomości|Pow. całkowita|Wysokość wnętrza|Liczba pięter|Typ kuchni|Liczba łazienek|Rynek|Forma własności|Typ budynku|Materiał budowlany|Rok budowy|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Pow. użytkowa|Piętro|Liczba poziomów mieszkania|Dostępne od|Rodzaj umowy|Liczba sypialni|łazienka razem z WC|Balkon|Taras|Stan budynku|Pow. łazienki|Pow. balkonu|Cena do negocjacji|Pow. tarasu|Stolarka okienna|Dodatkowe koszty|Pow. loggii|Typ domu|Urządzony ogród|Typ nieruchomości|Pow. ogródka
Unikatowy apartament ok.150 m2 z tarasem, Sopot|5 320 000 zł|Sopot, |Józefa Czyżewskiego| • 3 pokoje|BARDZO WYSOKI STANDARD|150 m²|340 cm|2|ODDZIELNA|2|Wtórny|WŁASNOŚĆ|KAMIENICA|CEGŁA|1906|C.O. GAZOWE|02.04.2024|02.04.2024|morizon-5598/1826/OMS|221|0|||||||||||||||||||||
Unikatowy loft blisko morza, Sopot Dolny|1 350 000 zł|Sopot, |Dolny, | • 3 pokoje||90 m²||2|||Wtórny||Kamienica|Cegła|1923|Elektryczne|17.11.2023|14.02.2024|morizon-WH259236|893|300|48 m²|2/2|2|17.11.2023|Na wyłączność||||||||||||||||
Eleganckie 3 pokoje w Sopocie Dolnym|1 890 000 zł|Sopot, |Dolny, | • 3 pokoje||81 m²||2|||Wtórny||Kamienica|Cegła|1920|Gazowe|02.11.2023|22.01.2024|morizon-WH183127|539|300||1/2|1|||2|||||||||||||||
W pełni wyposażone 2 pok. w centrum Sopotu|1 459 000 zł|Sopot, |Dolny Sopot, | • 2 pokoje|Wysoki standard|49 m²||4|Osobna||Wtórny|Spoldzielcze-wlasnosciowe-KW|Blok||1967||17.04.2024|17.04.2024|morizon-gratka-34312935|41|100||3/4|||||Tak|Tak|||||||||||||
Słoneczne mieszkanie idealne pod inwestycję|779 000 zł|Sopot, |Dolny Sopot, | • 1 pokój|Wysoki standard|30 m²||2|Osobna||Wtórny|Własność|Kamienica|Cegła|1930||08.04.2024|08.04.2024|morizon-gratka-34213929|180|100||2/2||09.04.2024|||Tak||||||||||||||
Połowa domu w Górnym Sopocie ogród taras garaż|2 650 000 zł|Sopot, |Górny, | • 3 pokoje||105 m²||1|||Wtórny||Kamienica|Cegła|1920|Gazowe|07.04.2023|28.02.2024|morizon-EC926966|2 614|53||1/1||07.04.2023||2|||Tak||||||||||||
Przestronne i stylowe mieszkanie w sercu Sopotu|939 999 zł|Sopot, |Dolny Sopot, | • 2 pokoje|Wysoki standard|60 m²||4|Osobna||Wtórny|Własność|Kamienica|Cegła|||17.01.2024|19.04.2024|morizon-gratka-33069239|156|50||4/4||01.05.2024|||Tak||||||||||||||
Mieszkanie - Sopot Dolny|980 000 zł|Sopot, |Dolny, | • 2 pokoje|Do remontu|48,41 m²||2|Osobna|1|Wtórny|Własność|Dom wielorodzinny|Cegła|1960|C.o. miejskie|14.11.2023|16.03.2024|morizon-PU0244|1 379|40||1/2|1||||Tak|Tak|Nie|Częściowo po remoncie|||||||||||
3 min. spacerkiem do plaży|659 000 zł|Sopot, |Dolny, | • 1 pokój||32,10 m²||2|Brak|1|Wtórny|(Nieznany)||||Gazowe|17.11.2023|21.04.2024|morizon-ET033034|569|31||||||||Nie|Nie|Bardzo dobry|||||||||||
"Mieszkanie do remontu w kamienicy | Sopot Górny"|999 000 zł|Sopot, |Górny, | • 3 pokoje||66,10 m²||3|||Wtórny||Kamienica|Cegła|1890|Gazowe|27.02.2024|15.04.2024|morizon-211006|1 072|26||3/3|1|||2|||||||||||||||
