|Nazwa|Cena|Miasto|Dzielnica_N|Dzielnica_Oryg|Pokoje|Stan nieruchomości|Pow. całkowita|Wysokość wnętrza|Piętro|Liczba pięter|Liczba sypialni|Typ kuchni|łazienka razem z WC|Balkon|Stolarka okienna|Depozyt za wynajem|Dodatkowe koszty|Rynek|Forma własności|Rodzaj umowy|Typ budynku|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba łazienek|Pow. balkonu|Taras|Pow. loggii|Rok budowy|Stan budynku|Ogrzewanie|Dostępne od|Materiał budowlany|Liczba poziomów mieszkania|Pow. łazienki|Pow. tarasu|Pow. ogródka|Pow. użytkowa|Cena do negocjacji|Typ oferty|Inwestycja|Typ nieruchomości|Typ domu|Lokalizacja garażu|Pow. działki
0|Opis nieruchomości|2500.0|Gdańsk|Gdańsk|Gdańsk, | 2|Bardzo dobry|41.0|255 cm|03-Mar||1.0|Aneks kuchenny - połączony z salonem|Tak|Tak|PCV|3000.0|500.0|Wtórny|Jeden właściciel|Na wyłączność|Blok|02.04.2024|19.04.2024|morizon-WST-MW-606-2|150|102||||||||||||||||Najmu|||||
1|PRZYTULNE 2 POK. SUPER LOKALIZACJA, OSIEDLE \'ORO\'|3500.0|Gdańsk|Oliwa|Oliwa, | 2||40.0||04-Jul|||Półotwarta||Nie||||Wtórny|Własność|||18.04.2024|17.04.2024|morizon-IF04224|84|101|1.0|6 m²|Nie|6 m²|2021.0|Wysoki standard|C.o. miejskie|||||||||Najmu|||||
2|APARTAMENT salon + 2 sypialnie CHMIELNA 73 WYNAJMĘ|8500.0|Gdańsk|Śródmieście|Chmielna| 3|Wysoki standard|75.0||02-Jun|||Aneks|Tak|Tak||||Wtórny|||Apartamentowiec|04.04.2024|04.04.2024|morizon-gratka-34171879|128|100||||||||05.04.2024||||||||Najmu|||||
3|Apartament salon + 2 sypialnie ul. Sadowa 25 WYNAJMĘ|4800.0|Gdańsk|Śródmieście|Sadowa| 3|Wysoki standard|69.76||01-Apr|||Aneks|Nie|Tak||||Wtórny|||Apartamentowiec|23.02.2024|25.03.2024|morizon-gratka-33461237|493|100|||||2022.0|||23.02.2024|Inny|||||||Najmu|||||
4|mieszkanie 3 pokojowe 64m.kw. Wiszące Ogrody, Gdańsk, ul.Przytulna|3200.0|Gdańsk|Jasień|Przytulna 24| 3||63.7||02-Apr|||Aneks|Nie|Tak||||Wtórny|||Blok|15.04.2024|15.04.2024|morizon-gratka-34289265|99|50||||||||15.04.2024||||||||Najmu|||||
5|NOWE mieszkanie 3 pokojowe 54m2, Gdańsk Jasień, od zaraz wynajmę|3300.0|Gdańsk|Jasień|Jasień, | 3|Wysoki standard|54.0||01-Mar|||Aneks|Tak|Tak||||Wtórny|||Blok|17.03.2024|17.04.2024|morizon-gratka-33803631|350|50|||||2024.0|||17.03.2024|Silikat|||||||Najmu|||||
6|Wyjątkowe mieszkanie na ekskluzywnym osiedlu, dwa miejsca parkingowe|9000.0|Gdańsk|Oliwa|Oliwa, | 5|Wysoki standard|110.0||02-Mar|||Aneks|Tak|||||Wtórny|||Apartamentowiec|22.03.2024|22.04.2024|morizon-gratka-33906967|207|50|||Tak||2011.0|||01.08.2024||||||||Najmu|||||
7|NOWE 2-pokojowe mieszkanie GDAŃSK SZCZĘŚLIWA|2800.0|Gdańsk|Jasień|Jasień, | 2|Wysoki standard|43.68||04-Apr|||Aneks|Nie|Tak||||Wtórny|||Blok|20.03.2024|20.04.2024|morizon-gratka-33861057|322|50|||||2023.0|||20.03.2024|Beton|||||||Najmu|||||
8|Kawalerka na wynajem Gdańsk|2100.0|Gdańsk|Gdańsk|| 1 pokój|Wysoki standard|35.0||02-Mar||||Tak|||||Wtórny|||Apartamentowiec|19.03.2024|19.04.2024|morizon-gratka-18422941|481|50|||||2010.0|||28.02.2022|Pustak|||||||Najmu|||||
9|Kawalerka w Sródmieściu Gdańska|1999.0|Gdańsk|Śródmieście|Łagiewniki| 1 pokój|Wysoki standard|40.0||01-Apr||||Tak|||||Wtórny|||Blok|21.03.2024|21.04.2024|morizon-gratka-33888497|188|50||||||||06.04.2024||||||||Najmu|||||
10|Kawalerka w centrum Gdańska|2500.0|Gdańsk|Śródmieście|Śródmieście, | 2||30.0||04-Apr|||||||||Wtórny|||Kamienica|19.04.2024|19.04.2024|morizon-gratka-34341033|52|50||||||||||||||||Najmu|||||
11|Nowe, wyposażone kawalerki, wysoki standard, k/SKM|2850.0|Gdańsk|Przymorze|Przymorze, | 1 pokój||27.38||01-May|||Półotwarta||Nie||||Wtórny|Własność|Na wyłączność||27.01.2024|22.03.2024|morizon-RR02057|566|35|1.0||Nie||2022.0|Bardzo dobry|C.o. miejskie|||||||||Najmu|||||
12|Kawalerka z balkonem w super lokalizacji-Garnizon|2800.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 1 pokój||26.0||02-May|||Półotwarta||Tak||||Wtórny|Własność|||10.02.2024|13.02.2024|morizon-RR02070|713|35|1.0||Nie||2019.0|Bardzo dobry|C.o. miejskie|||||||||Najmu|||||
13|Słoneczne 2 pokoje! Balkon! Szlaban! Chełm|2300.0|Gdańsk|Chełm|Nieborowska| 2|WYSOKI STANDARD|46.9|265 cm|03-Mar|||ODDZIELNA||Tak||||Wtórny||Na wyłączność|NISKI BLOK|03.02.2024|22.04.2024|morizon-8809/1621/OMW|581|27|1.0||||2001.0||C.O. Z SIECI MIEJSKIEJ||YTONG|||||||Najmu|||||
